trueText=s:RESET|falseText=s:NORMAL|range=E:bacnet:BacnetBinaryPv
Rainforest AHUR6_SysReset -   [ ]
ID, TIMESTAMP, TRENDFLAGS, STATUS, VALUE, TRENDFLAGS_TAG, STATUS_TAG
1, 2021/10/07 11:15:29, 1, 0, 0, {start}, {ok}
2, 2021/10/07 13:39:04, 1, 0, 0, {start}, {ok}
3, 2021/11/11 05:31:02, 0, 2, 0, { }, {fault}
4, 2021/11/11 05:31:27, 0, 6, 0, { }, {fault,down}
5, 2021/11/11 05:36:33, 0, 2, 0, { }, {fault}
6, 2021/11/11 05:36:33, 0, 0, 0, { }, {ok}
7, 2021/11/11 13:42:37, 0, 2, 0, { }, {fault}
8, 2021/11/11 13:43:01, 0, 6, 0, { }, {fault,down}
9, 2021/11/11 15:12:05, 0, 2, 0, { }, {fault}
10, 2021/11/11 15:12:06, 0, 0, 0, { }, {ok}
11, 2021/12/01 10:23:39, 0, 2, 0, { }, {fault}
12, 2021/12/01 10:23:41, 0, 6, 0, { }, {fault,down}
13, 2021/12/01 10:29:06, 0, 2, 0, { }, {fault}
14, 2021/12/01 10:29:06, 0, 0, 0, { }, {ok}
15, 2021/12/01 10:40:30, 0, 2, 0, { }, {fault}
16, 2021/12/01 10:40:34, 0, 6, 0, { }, {fault,down}
17, 2021/12/01 10:51:12, 0, 2, 0, { }, {fault}
18, 2021/12/01 10:51:12, 0, 0, 0, { }, {ok}
19, 2021/12/01 13:48:07, 0, 2, 0, { }, {fault}
20, 2021/12/01 13:48:19, 0, 6, 0, { }, {fault,down}
21, 2021/12/01 13:53:53, 0, 2, 0, { }, {fault}
22, 2021/12/01 13:53:54, 0, 0, 0, { }, {ok}
23, 2021/12/21 11:19:34, 0, 4, 0, { }, {down}
24, 2021/12/21 11:52:26, 0, 0, 0, { }, {ok}
25, 2022/03/09 09:51:08, 1, 0, 0, {start}, {ok}
26, 2022/03/23 08:33:54, 1, 0, 0, {start}, {ok}
27, 2022/03/23 08:44:29, 1, 0, 0, {start}, {ok}
28, 2022/08/12 20:15:41, 0, 2, 0, { }, {fault}
29, 2022/08/12 20:16:52, 0, 6, 0, { }, {fault,down}
30, 2022/08/12 20:17:40, 0, 2, 0, { }, {fault}
31, 2022/08/12 20:17:40, 0, 0, 0, { }, {ok}
32, 2022/10/03 10:44:38, 0, 4, 0, { }, {down}
33, 2022/10/03 10:49:39, 0, 0, 0, { }, {ok}
34, 2023/02/16 19:13:35, 1, 0, 0, {start}, {ok}
35, 2023/02/17 02:33:42, 0, 2, 0, { }, {fault}
36, 2023/02/17 02:33:46, 0, 0, 0, { }, {ok}
